No.,PM,Temperatura,L1,L2,FP,Inflamabilidad,NFPA reactivity (unitless),HMIS flammability,HMIS reactivity
1717,122.17,600,1.1,6.4,100,1,0,1,0
526,190.32,194,0.6,20.4,100.4,1,0,,
129,117.1,590,1.1,7,101,1,0,1,0
443,103.17,325,4.4,16.7,102,1,1,1,1
263,116.2,380,1.3,9.3,102,1,0,1,0
137,150.18,460,0.9,8.4,102,1,0,2,0
923,158.28,266,0.8,4.5,103.5,1,0,,
450,154.1,436,1.8,12.2,104,1,1,1,1
749,200,243,0.5,4.8,105,1,0,1,0
589,204.27,249,0.8,10.7,105,1,0,1,0
1584,181.45,571,2.5,6.6,105,1,0,,
474,174,360,0.81,8.1,107,1,0,1,0
205,90.12,395,1.9,12.6,108,1,0,0,0
437,204.3,295,0.6,10.7,110,1,0,,
1599,178.23,195,0.7,11.4,111,1,0,,
590,162.23,204,0.85,24.6,111,2,0,1,0
1054,59.07,425,3.8,17.8,111,1,0,1,0
1716,122.17,600,1.1,6.4,112,1,0,,
1698,127.19,220,1.4,6.5,114,1,0,1,0
436,162.26,227,0.8,9.4,114,2,0,1,1
509,170.22,618,0.8,1.5,115,1,0,,
688,62.08,432,3.2,15.3,116,1,0,1,1
449,222.3,457,0.7,5.3,117,1,0,1,1
431,218.38,310,0.6,7,118,1,0,,
486,134.18,310,2.9,12.6,118,1,0,,
1603,146.24,338,1.1,6.4,118,1,0,,
703,144.24,371,1.04,8.64,118,1,0,1,0
499,128.17,255,1.6,9.2,121,1,0,,
1129,128.17,255,1.6,9.3,121,1,0,,
514,134.2,332,2.9,12.6,121,1,0,,
696,138.18,535,1.4,9,121,1,0,,
511,134.18,310,2.9,12.6,124,1,0,,
528,138.18,495,0.95,100,126,1,0,,
927,158.24,320,1.2,100,127,1,0,1,0
134,195.5,420,2.1,5.6,127,1,0,1,0
280,110.11,567,1.6,9.8,127,1,0,1,0
1309,85.11,390,0,13.8,129,1,0,,
338,71.08,493,2.3,12.1,129,1,2,,
1202,104.15,335,1.5,10.9,130,1,0,1,0
206,90.1,350,1.9,13.2,134,1,0,1,0
463,133.19,374,1.2,9.8,135.5,1,0,1,1
870,118.18,320,1.3,9.2,136,1,0,1,0
420,105.14,662,1.8,13.4,137,1,0,1,1
829,218.21,430,1.1,7.7,138,1,0,,
1147,220.35,370,1,100,141,1,0,,
251,86.09,470,2.3,35.7,142,1,0,1,0
496,194.2,470,0.9,5.8,150,1,0,,
428,106.14,224,1.7,10.6,154,1,0,,
798,45.04,500,7,29.3,154,1,,,
399,278.38,402,0.5,2.5,157,1,0,1,1
140,212.2,480,0.7,4.5,158,1,0,1,0
249,340.6,355,0.3,2.3,160,1,0,1,0
1537,189.36,321,0.8,4.6,163,1,0,1,
